buld_nm,승강기번호,주소,고장,고장일자,sido,sigungu,buld_nm
한양아트빌,122-01915,서울특별시 은평구 증산로 395-16 (신사동),Y,2012.1.6,서울특별시,은평구,증산로
하늘애아파트 2차,122-02409,서울특별시 은평구 진흥로 37-1 (역촌동),Y,2013.10.10,서울특별시,은평구,진흥로
이지빌,122-02000,서울특별시 은평구 서오릉로 149-22 (구산동),Y,2011.4.13,서울특별시,은평구,서오릉로
이지빌,122-02000,서울특별시 은평구 서오릉로 149-22 (구산동),Y,2011.4.8,서울특별시,은평구,서오릉로
이지빌,122-02000,서울특별시 은평구 서오릉로 149-22 (구산동),Y,2010.9.9,서울특별시,은평구,서오릉로
이지빌,122-02000,서울특별시 은평구 서오릉로 149-22 (구산동),Y,2012.3.21,서울특별시,은평구,서오릉로
이지빌,122-02000,서울특별시 은평구 서오릉로 149-22 (구산동),Y,2011.12.12,서울특별시,은평구,서오릉로
트라움궁,122-03879,서울특별시 은평구 통일로71길 4 (대조동),Y,2012.8.6,서울특별시,은평구,통일로71길
아그네스 풍림아이원,122-02675,서울특별시 은평구 진흥로1길 28 (역촌동),Y,2014.6.18,서울특별시,은평구,진흥로1길
아그네스 풍림아이원,122-02675,서울특별시 은평구 진흥로1길 28 (역촌동),Y,2013.6.29,서울특별시,은평구,진흥로1길
해태드림타운아파트,122-00341,서울특별시 은평구 은평로 82 (응암동),Y,2012.8.3,서울특별시,은평구,은평로
해태드림타운아파트,122-00341,서울특별시 은평구 은평로 82 (응암동),Y,2012.7.28,서울특별시,은평구,은평로
범서기업(주)범서쇼핑,122-00419,서울특별시 은평구 통일로 842 (불광동),Y,2014.6.20,서울특별시,은평구,통일로
서울병원,122-00901,서울특별시 은평구 진흥로 191 (대조동),Y,2011.11.7,서울특별시,은평구,진흥로
보성빌딩,122-02073,서울특별시 은평구 연서로 209 (갈현동),Y,2014.9.16,서울특별시,은평구,연서로
보성빌딩,122-02073,서울특별시 은평구 연서로 209 (갈현동),Y,2012.6.22,서울특별시,은평구,연서로
보성빌딩,122-02073,서울특별시 은평구 연서로 209 (갈현동),Y,2011.10.5,서울특별시,은평구,연서로
백명파크맨숀,122-00322,서울특별시 은평구 통일로53길 9 (녹번동),Y,2013.7.20,서울특별시,은평구,통일로53길
경향파크아파트,122-00100,서울특별시 은평구 갈현로15길 53 (구산동),Y,2016.1.22,서울특별시,은평구,갈현로15길
경향파크아파트,122-00101,서울특별시 은평구 갈현로15길 53 (구산동),Y,2016.6.17,서울특별시,은평구,갈현로15길
경향파크아파트,122-00098,서울특별시 은평구 갈현로15길 53 (구산동),Y,2011.12.20,서울특별시,은평구,갈현로15길
경향파크아파트,122-00099,서울특별시 은평구 갈현로15길 53 (구산동),Y,2008.4.9,서울특별시,은평구,갈현로15길
정원시티빌,122-01188,서울특별시 은평구 갈현로1길 16-1 (신사동),Y,2014.8.18,서울특별시,은평구,갈현로1길
북한산힐스테이트7차(분양),122-03299,서울특별시 은평구 통일로 796 (불광동，북한산 힐스테이트 7차),Y,2014.8.25,서울특별시,은평구,통일로
북한산힐스테이트7차(분양),122-03363,서울특별시 은평구 통일로 796 (불광동，북한산 힐스테이트 7차),Y,2011.8.13,서울특별시,은평구,통일로
동익파크2차아파트,122-00148,"서울특별시 은평구 서오릉로23길 9-8 (구산동, 동익파크아파트)",Y,2013.4.20,서울특별시,은평구,서오릉로23길
영진빌딩,122-00161,서울특별시 은평구 연서로 137 (구산동),Y,2011.2.16,서울특별시,은평구,연서로
로얄빌딩,122-00381,서울특별시 은평구 통일로 863-13 (갈현동),Y,2016.8.6,서울특별시,은평구,통일로
로얄빌딩,122-00381,서울특별시 은평구 통일로 863-13 (갈현동),Y,2016.7.4,서울특별시,은평구,통일로
로얄빌딩,122-00381,서울특별시 은평구 통일로 863-13 (갈현동),Y,2014.9.5,서울특별시,은평구,통일로
로얄빌딩,122-00381,서울특별시 은평구 통일로 863-13 (갈현동),Y,2010.9.27,서울특별시,은평구,통일로
서부병원,122-01731,서울특별시 은평구 은평로 133 (응암동),Y,2014.6.2,서울특별시,은평구,은평로
경진빌딩,122-03280,서울특별시 은평구 은평로11길 11-2 (녹번동),Y,2010.9.30,서울특별시,은평구,은평로11길
수색동새마을금고,122-01111,서울특별시 은평구 증산서길 103 (증산동),Y,2013.1.8,서울특별시,은평구,증산서길
(주)녹번해명,122-00138,서울특별시 은평구 은평로13길 12-1 해명빌딩 (녹번동),Y,2013.3.29,서울특별시,은평구,은평로13길
(주)녹번해명,122-00138,서울특별시 은평구 은평로13길 12-1 해명빌딩 (녹번동),Y,2011.4.5,서울특별시,은평구,은평로13길
(주)녹번해명,122-00138,서울특별시 은평구 은평로13길 12-1 해명빌딩 (녹번동),Y,2013.1.18,서울특별시,은평구,은평로13길
(주)녹번해명,122-00138,서울특별시 은평구 은평로13길 12-1 해명빌딩 (녹번동),Y,2012.3.27,서울특별시,은평구,은평로13길
제일프라자,122-01315,서울특별시 은평구 갈현로 82 (역촌동),Y,2011.8.22,서울특별시,은평구,갈현로
보성리엔빌,122-02501,서울특별시 은평구 진흥로9길 3-7 (역촌동),Y,2010.7.14,서울특별시,은평구,진흥로9길
하나님의교회,122-03272,서울특별시 은평구 진관1로 77-11 (진관동),Y,2014.9.21,서울특별시,은평구,진관1로
은평뉴타운 제각말 5-2관리소,122-02681,서울특별시 은평구 연서로48길 11 (진관동),Y,2014.9.16,서울특별시,은평구,연서로48길
뉴아름빌,122-03658,서울특별시 은평구 갈현로21길 9 (갈현동),Y,2012.8.6,서울특별시,은평구,갈현로21길
증산동중앙하이츠아파트,122-00792,서울특별시 은평구 증산로 285 (증산동，증산중앙하이츠아파트),Y,2014.6.7,서울특별시,은평구,증산로
증산동중앙하이츠아파트,122-00792,서울특별시 은평구 증산로 285 (증산동，증산중앙하이츠아파트),Y,2012.7.8,서울특별시,은평구,증산로
대조삼성타운아파트,122-00409,서울특별시 은평구 서오릉로 94 (대조동),Y,2013.5.5,서울특별시,은평구,서오릉로
대조삼성타운아파트,122-00411,서울특별시 은평구 서오릉로 94 (대조동),Y,2012.1.14,서울특별시,은평구,서오릉로
파레제페빌딩,122-01813,서울특별시 은평구 통일로 830 (불광동),Y,2011.8.11,서울특별시,은평구,통일로
한신휴플러스아파트,122-01231,서울특별시 은평구 갈현로1길 31 (신사동),Y,2008.4.5,서울특별시,은평구,갈현로1길
한신휴플러스아파트,122-01232,서울특별시 은평구 갈현로1길 31 (신사동),Y,2008.2.7,서울특별시,은평구,갈현로1길
한신휴플러스아파트,122-01231,서울특별시 은평구 갈현로1길 31 (신사동),Y,2008.4.5,서울특별시,은평구,갈현로1길
쉴모텔,122-01043,서울특별시 은평구 통일로82길 6 (불광동),Y,2014.7.9,서울특별시,은평구,통일로82길
쉴모텔,122-01043,서울특별시 은평구 통일로82길 6 (불광동),Y,2012.10.3,서울특별시,은평구,통일로82길
한성교회,122-01917,서울특별시 은평구 응암로20길 23 (응암동),Y,2011.12.25,서울특별시,은평구,응암로20길
예일여자고등학교,122-00937,서울특별시 은평구 연서로 117 (구산동),Y,2014.7.10,서울특별시,은평구,연서로
은평뉴타운상림마을(14단지),122-02256,서울특별시 은평구 진관4로 48-51 (진관동),Y,2013.8.6,서울특별시,은평구,진관4로
디지털미디어시티역(DMC역),122-02736,서울특별시 은평구 수색로 193 (수색동),Y,2010.10.16,서울특별시,은평구,수색로
디지털미디어시티역(DMC역),122-02740,서울특별시 은평구 수색로 193 (수색동),Y,2010.8.5,서울특별시,은평구,수색로
디지털미디어시티역(DMC역),122-02736,서울특별시 은평구 수색로 193 (수색동),Y,2011.3.2,서울특별시,은평구,수색로
디지털미디어시티역(DMC역),122-02736,서울특별시 은평구 수색로 193 (수색동),Y,2011.11.23,서울특별시,은평구,수색로
디지털미디어시티역(DMC역),122-02737,서울특별시 은평구 수색로 193 (수색동),Y,2011.11.3,서울특별시,은평구,수색로
갈현동한솔아파트,122-00399,서울특별시 은평구 갈현로23길 41 (갈현동),Y,2012.9.14,서울특별시,은평구,갈현로23길
백련산힐스테이트2차,122-03579,서울특별시 은평구 백련산로 38 (응암동 백련산힐스테이트2차관리사무소),Y,2012.7.13,서울특별시,은평구,백련산로
이안쉐르빌,122-03250,서울특별시 은평구 가좌로9길 7-1 (응암동),Y,2012.1.13,서울특별시,은평구,가좌로9길
대주피오레아파트,122-01256,서울특별시 은평구 백련산로 6 (응암동),Y,2014.7.21,서울특별시,은평구,백련산로
풍성한알곡교회,122-00361,서울특별시 은평구 갈현로27길 14 (갈현동),Y,2012.2.11,서울특별시,은평구,갈현로27길
정승기정형외과,122-01937,서울특별시 은평구 통일로 710 (불광동),Y,2012.9.18,서울특별시,은평구,통일로
더수빌,122-03717,서울특별시 은평구 불광로 122-9 (불광동),Y,2012.3.10,서울특별시,은평구,불광로
더수빌,122-03717,서울특별시 은평구 불광로 122-9 (불광동),Y,2012.3.10,서울특별시,은평구,불광로
최원호병원,122-03518,서울특별시 은평구 서오릉로 45 (녹번동),Y,2012.10.17,서울특별시,은평구,서오릉로
충남빌딩,122-01289,서울특별시 은평구 연서로29길 8-15 (갈현동),Y,2012.7.27,서울특별시,은평구,연서로29길
경산빌딩,122-00066,서울특별시 은평구 통일로 897 (갈현동),Y,2010.6.14,서울특별시,은평구,통일로
신사미성아파트,122-00805,"서울특별시 은평구 증산로15길 35-8 , 관리사무소 (신사동)",Y,2013.5.11,서울특별시,은평구,증산로15길
정우빌딩,122-01251,서울특별시 은평구 증산로1길 17 (증산동),Y,2011.9.15,서울특별시,은평구,증산로1길
건우오피스텔,122-01069,서울특별시 은평구 은평로9길 8-1 (응암동),Y,2014.6.14,서울특별시,은평구,은평로9길
서광교회,122-02469,서울특별시 은평구 통일로 951 (갈현동),Y,2014.7.20,서울특별시,은평구,통일로
청구성심병원,122-03563,서울특별시 은평구 통일로 873 (갈현동),Y,2012.10.31,서울특별시,은평구,통일로
응암신동아아파트,122-01733,서울특별시 은평구 백련산로 127 (응암동),Y,2010.8.21,서울특별시,은평구,백련산로
동아빌딩,122-00157,서울특별시 은평구 은평로 97 (응암동),Y,2013.3.2,서울특별시,은평구,은평로
(주)메트로백화점,122-00594,서울특별시 은평구 통일로 856 (불광동),Y,2010.10.11,서울특별시,은평구,통일로
(주)메트로백화점,122-00595,서울특별시 은평구 통일로 856 (불광동),Y,2010.8.10,서울특별시,은평구,통일로
(주)메트로백화점,122-00567,서울특별시 은평구 통일로 856 (불광동),Y,2011.1.18,서울특별시,은평구,통일로
녹번2차현대아파트,122-00576,서울특별시 은평구 서오릉로4길 7-8 (녹번동),Y,2011.9.15,서울특별시,은평구,서오릉로4길
티파니모텔,122-00581,서울특별시 은평구 통일로65길 24 (대조동),Y,2012.7.27,서울특별시,은평구,통일로65길
경향렉스빌아파트,122-01461,서울특별시 은평구 은평로 160 (응암동),Y,2011.10.16,서울특별시,은평구,은평로
팜스퀘어,122-01586,서울특별시 은평구 불광로 20 (대조동),Y,2012.11.25,서울특별시,은평구,불광로
삼부아파트(신흥상가),122-00763,서울특별시 은평구 증산로21길 11 (신사동),Y,2010.6.22,서울특별시,은평구,증산로21길
라비앙타워,122-01590,서울특별시 은평구 불광로 60 (불광동),Y,2010.5.27,서울특별시,은평구,불광로
신사두산위브아파트,122-01871,서울특별시 은평구 갈현로1길 36 (신사동),Y,2015.5.28,서울특별시,은평구,갈현로1길
신사두산위브아파트,122-01869,서울특별시 은평구 갈현로1길 36 (신사동),Y,2010.8.1,서울특별시,은평구,갈현로1길
구파발광역환승센터,122-03481,서울특별시 은평구 진관2로 15-40 (진관동),Y,2013.3.25,서울특별시,은평구,진관2로
불광동대호아파트(1차),122-00514,서울특별시 은평구 불광로 98-8 (불광동),Y,2015.11.2,서울특별시,은평구,불광로
불광동대호아파트(1차),122-00515,서울특별시 은평구 불광로 98-8 (불광동),Y,2012.6.26,서울특별시,은평구,불광로
불광동대호아파트(1차),122-00514,서울특별시 은평구 불광로 98-8 (불광동),Y,2012.2.11,서울특별시,은평구,불광로
불광동대호아파트(1차),122-00513,서울특별시 은평구 불광로 98-8 (불광동),Y,2013.1.18,서울특별시,은평구,불광로
불광동대호아파트(1차),122-00512,서울특별시 은평구 불광로 98-8 (불광동),Y,2013.1.18,서울특별시,은평구,불광로
동익파크1차아파트,122-00147,서울특별시 은평구 서오릉로21길 20 (구산동),Y,2014.8.13,서울특별시,은평구,서오릉로21길
삼흥아파트,122-00988,서울특별시 은평구 통일로82가길 2 (불광동),Y,2014.9.16,서울특별시,은평구,통일로82가길
행운아파트,122-00993,서울특별시 은평구 연서로19길 16-7 (갈현동),Y,2013.8.10,서울특별시,은평구,연서로19길
대조동주민센터,122-00886,서울특별시 은평구 연서로20길 24-3 (대조동),Y,2013.8.23,서울특별시,은평구,연서로20길
서울교통공사6호선새절역,122-01472,서울특별시 은평구 증산로 400 (신사동),Y,2012.6.18,서울특별시,은평구,증산로
서울교통공사6호선새절역,122-01472,서울특별시 은평구 증산로 400 (신사동),Y,2012.9.15,서울특별시,은평구,증산로
서울교통공사6호선새절역,122-01472,서울특별시 은평구 증산로 400 (신사동),Y,2011.11.5,서울특별시,은평구,증산로
서울교통공사6호선새절역,122-01472,서울특별시 은평구 증산로 400 (신사동),Y,2011.8.23,서울특별시,은평구,증산로
예청아파트 B동,122-01050,서울특별시 은평구 불광천길 502-1 (응암동),Y,2014.6.10,서울특별시,은평구,불광천길
은평뉴타운 마고정3단지,122-02491,서울특별시 은평구 진관2로 90 (진관동),Y,2012.1.4,서울특별시,은평구,진관2로
응암SH-Ville임대아파트,122-01946,서울특별시 은평구 백련산로 146-30 (응암동，응암 SH-VILLE),Y,2014.8.27,서울특별시,은평구,백련산로
진원 Y-타운,122-02171,서울특별시 은평구 통일로 855-8 (갈현동),Y,2014.7.13,서울특별시,은평구,통일로
은평뉴타운마고정11단지,122-02536,"서울특별시 은평구 진관1로 55 , 은평뉴타운마고정아파트 (진관동)",Y,2014.8.18,서울특별시,은평구,진관1로
금현빌딩,122-00523,서울특별시 은평구 연서로 73 (역촌동),Y,2012.8.6,서울특별시,은평구,연서로
금현빌딩,122-00523,서울특별시 은평구 연서로 73 (역촌동),Y,2011.12.26,서울특별시,은평구,연서로
금현빌딩,122-00523,서울특별시 은평구 연서로 73 (역촌동),Y,2012.12.28,서울특별시,은평구,연서로
금현빌딩,122-00523,서울특별시 은평구 연서로 73 (역촌동),Y,2012.2.5,서울특별시,은평구,연서로
